full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat
Aaron Cresswell,55459,19,2,50,115,3.7,2726,2,4,38,7,589.2,545.7,187.0
Aaron Ramsdale,225321,1,1,50,135,4.0,3060,0,0,39,12,690.2,1.0,0.0
Aaron Wan-Bissaka,214590,14,2,45,41,2.0,1793,0,0,35,3,371.8,237.0,123.0
Abdoulaye Doucouré,121599,8,3,55,90,3.0,2536,2,5,47,5,481.8,285.8,441.0
Adam Armstrong,155511,17,4,55,57,2.5,1409,2,3,31,4,179.2,180.2,575.0
Adam Forshaw,80179,11,3,45,38,1.7,1526,0,1,41,2,217.2,195.3,119.0
Adam Lallana,39155,5,3,50,44,1.8,1559,0,1,20,6,209.4,162.9,173.0
Adam Webster,110735,5,2,45,59,2.7,1429,2,0,20,4,416.8,51.4,120.0
Adama Traoré Diarra,159533,20,3,55,44,2.2,1069,1,1,10,5,192.0,271.1,300.0
Albert Sambi Lokonga,437742,1,3,45,32,1.7,1129,0,0,11,7,192.4,263.4,108.0
Alex Iwobi,153133,8,3,55,78,2.8,2029,2,2,38,6,370.0,501.4,357.0
Alex McCarthy,58376,17,1,45,55,3.2,1530,0,0,27,5,334.4,10.0,0.0
Alex Oxlade-Chamberlain,81880,12,3,50,42,2.5,777,2,1,7,3,162.8,170.0,208.0
Alex Telles,152590,14,2,50,67,3.2,1658,0,4,26,5,399.6,455.6,103.0
Alexis Mac Allister,243016,5,3,55,93,2.8,2112,5,2,29,6,509.6,490.7,550.0
Alisson Ramses Becker,116535,12,1,55,176,4.9,3240,0,1,24,20,721.4,10.0,0.0
Allan Marques Loureiro,119765,8,3,50,58,2.1,2181,0,3,38,6,391.4,228.4,82.0
Allan Saint-Maximin,170137,15,3,65,116,3.3,2804,5,7,54,9,575.8,671.5,862.0
Andrew Robertson,122798,12,2,70,186,6.4,2537,3,11,20,17,708.2,900.7,372.0
Andros Townsend,60252,8,3,55,66,3.1,1452,3,2,30,3,351.6,468.9,221.0
André Tavares Gomes,120250,8,3,45,18,1.3,614,0,1,19,0,84.0,85.2,136.0
Angelo Ogbonna,40669,19,2,45,40,3.6,921,1,0,11,3,167.0,5.3,67.0
Anthony Elanga,449434,14,3,50,59,2.8,1208,2,3,17,4,206.2,172.1,303.0
Anthony Gordon,232826,8,3,55,100,2.9,2277,4,3,40,7,460.4,523.0,632.0
Anwar El Ghazi,193488,2,3,50,22,2.0,392,1,1,8,1,74.6,85.2,85.0
Armando Broja,440323,6,4,55,92,2.9,1969,6,2,37,5,280.2,159.2,720.0
Arthur Masuaku,105717,19,2,45,29,2.2,645,1,1,12,1,178.2,57.2,39.0
Aymeric Laporte,146941,13,2,60,160,4.8,2830,4,2,24,18,660.0,201.0,348.0
Ayoze Pérez,168580,10,3,50,35,2.5,438,2,3,15,1,172.4,139.7,180.0
Ben Chilwell,172850,6,2,60,55,7.9,541,3,1,2,4,175.8,161.1,202.0
Ben Davies,115556,18,2,50,105,3.6,2537,1,2,30,12,501.4,203.5,254.0
Ben Godfrey,198826,8,2,45,45,2.0,2029,0,0,39,4,416.0,164.6,222.0
Ben Johnson,222018,19,2,45,48,2.4,1397,1,0,18,3,307.2,176.4,39.0
Benjamin White,198869,1,2,45,107,3.3,2880,0,0,35,13,592.8,182.3,150.0
Bernardo Veiga de Carvalho e Silva,165809,13,3,70,155,4.4,2856,8,8,23,16,739.4,876.1,958.0
Bernd Leno,80201,1,1,45,10,2.5,360,0,0,9,1,85.0,0.0,0.0
Billy Gilmour,243568,6,3,45,49,2.0,1852,0,1,52,2,280.2,458.7,134.0
Boubakary Soumaré,225902,10,3,45,36,1.9,1095,0,1,27,2,142.6,98.6,40.0
Brandon Williams,232937,14,2,40,36,1.4,2119,0,1,52,2,371.0,289.3,80.0
Bruno Borges Fernandes,141746,14,3,100,151,4.2,3110,10,7,54,8,906.6,1291.9,910.0
Bruno Guimarães Rodriguez Moura,208706,15,3,60,67,3.9,1031,5,1,13,4,407.6,190.9,323.0
Bryan Mbeumo,446008,4,4,60,119,3.4,2905,4,7,47,9,459.8,520.6,967.0
Bukayo Saka,223340,1,3,80,179,4.7,2978,11,9,39,13,790.4,977.8,1434.0
Callum Hudson-Odoi,209046,6,3,55,49,3.3,958,1,4,8,6,175.4,326.9,326.0
Callum Wilson,75115,15,4,75,75,4.2,1386,8,0,32,3,319.8,127.3,494.0
Calum Chambers,101184,2,2,45,42,3.2,999,1,0,16,4,250.6,53.1,63.0
Charlie Goode,213687,4,2,40,10,1.7,448,0,0,6,1,54.8,82.7,24.0
Che Adams,200439,17,4,65,103,3.4,2034,7,4,40,5,425.8,337.7,804.0
Chris Wood,60689,15,4,60,91,2.7,2694,5,0,41,6,274.8,265.4,784.0
Christian Benteke,54861,7,4,55,58,2.3,1132,4,1,20,4,250.2,176.7,523.0
Christian Eriksen,80607,14,3,65,43,3.9,938,1,4,10,4,285.6,482.4,192.0
Christian Nørgaard,128295,4,3,55,101,2.9,3054,3,4,51,8,694.8,409.8,434.0
Christian Pulisic,176413,6,3,60,77,3.5,1282,6,2,10,6,317.6,223.9,434.0
Ciaran Clark,58845,15,2,45,14,1.1,1012,0,1,27,0,189.2,49.9,95.0
Conor Coady,94147,20,2,50,138,3.6,3361,4,0,43,11,781.0,45.4,202.0
Conor Gallagher,232787,6,3,60,140,4.1,2843,8,6,38,11,673.8,635.9,672.0
Craig Dawson,60232,19,2,50,90,2.6,2752,2,3,43,6,712.0,62.4,389.0
Cristian Romero,221632,18,2,50,63,2.9,1844,1,0,25,5,498.8,98.9,102.0
